
   INFO  Server running on [http://0.0.0.0:8081].  

  Press Ctrl+C to stop the server
  2026-06-19 23:01:35 /api/v1/user/teams ........................... ~ 0.01ms
  2026-06-19 23:01:35 /api/v1/admin/login .......................... ~ 0.01ms
  2026-06-19 23:01:39 /api/v1/internal/geodns/health-view ........ ~ 503.21ms
  2026-06-19 23:01:40 /api/v1/admin/rbac/roles ..................... ~ 0.21ms
  2026-06-19 23:01:40 /api/v1/admin/finance/users .................. ~ 0.02ms
  2026-06-19 23:01:40 /api/v1/admin/nodes .......................... ~ 0.01ms
  2026-06-19 23:01:48 /api/v1/node/nodes/heartbeat ................. ~ 0.23ms
  2026-06-19 23:01:48 /api/v1/node/resolver/config ................. ~ 0.38ms
  2026-06-19 23:01:54 /api/v1/internal/geodns/health-view .......... ~ 0.76ms
  2026-06-19 23:02:01 /api/v1/admin/login ........................ ~ 504.87ms
  2026-06-19 23:02:06 /api/v1/admin/rbac/roles ................... ~ 505.63ms
  2026-06-19 23:02:07 /api/v1/admin/rbac/permissions ............... ~ 0.01ms
  2026-06-19 23:02:07 /api/v1/admin/nodes .......................... ~ 0.01ms
  2026-06-19 23:02:07 /api/v1/admin/finance/recharges .............. ~ 0.01ms
  2026-06-19 23:02:07 /api/v1/admin/finance/orders ................. ~ 0.01ms
  2026-06-19 23:02:07 /api/v1/admin/finance/subscriptions .......... ~ 0.01ms
  2026-06-19 23:02:07 /api/v1/admin/stats/overview ................. ~ 0.01ms
  2026-06-19 23:02:09 /api/v1/internal/geodns/health-view .......... ~ 0.14ms
  2026-06-19 23:02:18 /api/v1/node/nodes/heartbeat ................. ~ 1.04ms
  2026-06-19 23:02:18 /api/v1/node/resolver/config ................. ~ 1.39ms
  2026-06-19 23:02:24 /api/v1/internal/geodns/health-view .......... ~ 1.39ms
  2026-06-19 23:02:27 /api/v1/admin/login ........................ ~ 504.09ms
  2026-06-19 23:02:32 /api/v1/admin/overview ....................... ~ 0.17ms
  2026-06-19 23:02:32 /api/v1/admin/billing-stats .................. ~ 0.01ms
  2026-06-19 23:02:33 /api/v1/admin/finance/balances ............... ~ 0.01ms
  2026-06-19 23:02:33 /api/v1/admin/billing/invoices ............. ~ 505.14ms
  2026-06-19 23:02:33 /api/v1/admin/plans .......................... ~ 0.01ms
  2026-06-19 23:02:33 /api/v1/admin/users .......................... ~ 0.01ms
  2026-06-19 23:02:33 /api/v1/admin/teams .......................... ~ 0.01ms
  2026-06-19 23:02:33 /api/v1/admin/alerts ......................... ~ 0.04ms
  2026-06-19 23:02:33 /api/v1/admin/audit-logs ..................... ~ 0.01ms
  2026-06-19 23:02:33 /api/v1/admin/query-logs ..................... ~ 0.01ms
  2026-06-19 23:02:33 /api/v1/admin/geo-dns ...................... ~ 500.31ms
  2026-06-19 23:02:33 /api/v1/admin/rbac/admins .................... ~ 0.02ms
  2026-06-19 23:02:39 /api/v1/internal/geodns/health-view .......... ~ 2.47ms
  2026-06-19 23:02:48 /api/v1/node/resolver/config ................. ~ 0.36ms
  2026-06-19 23:02:48 /api/v1/node/nodes/heartbeat ................. ~ 0.50ms
  2026-06-19 23:02:54 /api/v1/internal/geodns/health-view ........ ~ 501.68ms
  2026-06-19 23:03:09 /api/v1/internal/geodns/health-view ........ ~ 501.28ms
  2026-06-19 23:03:18 /api/v1/node/resolver/config ................. ~ 0.84ms
  2026-06-19 23:03:18 /api/v1/node/nodes/heartbeat ................. ~ 1.01ms
  2026-06-19 23:03:24 /api/v1/internal/geodns/health-view .......... ~ 0.52ms
  2026-06-19 23:03:39 /api/v1/internal/geodns/health-view .......... ~ 1.03ms
  2026-06-19 23:03:48 /api/v1/node/nodes/heartbeat ............... ~ 503.84ms
  2026-06-19 23:03:48 /api/v1/node/resolver/config ................. ~ 0.03ms
  2026-06-19 23:03:54 /api/v1/internal/geodns/health-view .......... ~ 0.34ms
  2026-06-19 23:04:09 /api/v1/internal/geodns/health-view ........ ~ 503.00ms
  2026-06-19 23:04:18 /api/v1/node/resolver/config ................. ~ 0.06ms
